,lat,lng
0,35.84961398,128.7572774
1,37.16881191,127.07381756
2,34.7898018,126.65522725
3,37.57178811,127.1156177
4,36.3490604,127.39976268
5,37.75352068,128.90227799
6,33.25612472,126.56945904
7,35.22666968,128.56224486
8,35.84106817,127.14071704
9,37.44827725,126.6717641
10,35.31971352,129.21387457
11,36.74691271,128.47276025
12,34.75198605,127.68593124
13,37.28415381,127.81304927
14,36.06950285,129.33812276
15,37.91967871,124.69181091
16,35.38719153,127.97058473
17,36.53070399,126.7492491
18,37.48569447,126.88477265
19,35.52616298,129.42423183
20,35.26690941,127.23207008
21,37.87678875,127.04946835
22,37.8891416,127.73705025
23,36.12285632,128.36157401
24,36.70798861,129.42172226
25,35.29113253,126.75602275
26,37.00936571,127.44114933
27,35.87684965,128.60198296
28,38.16969234,128.58565017
29,35.93849833,126.95395344
30,36.62745141,127.31783499
31,35.54519397,127.75021146
32,34.66073334,126.91961085
33,37.48937521,130.88191605
34,37.68234558,126.61234997
35,34.83817791,128.41285995
36,37.28327066,126.98508589
37,36.40530595,127.96337525
38,34.45207537,126.23923369
39,36.89122934,126.66981807
40,35.10744678,129.02447437
41,36.98450709,128.3323993
42,35.15879555,127.87813519
43,37.36286069,128.68573198
44,37.35195555,127.10918038
45,33.49874414,126.52441393
46,37.740746,126.2844431
47,35.55352456,126.86729328
48,36.00315419,126.72068677
49,37.64633682,126.85759765
50,36.82184062,127.13940075
51,36.89963402,127.7346619
52,35.59312759,127.28842728
53,36.63991868,127.47243004
54,37.27147909,127.45084501
55,38.17512634,127.26176451
56,35.71340984,128.37611392
57,37.5572095,126.96676717
58,38.13847065,128.09813583
59,35.27659036,126.48077615
60,34.80200927,126.42342347
61,35.88847599,129.20642155
62,34.88270213,128.65781253
63,35.46711401,128.51206877
64,37.75545791,127.06133627
65,36.27397541,128.58155492
66,37.29937369,126.83363208
67,37.49624695,129.12917996
68,35.21868751,128.68723967
69,36.55557722,129.05035341
70,35.74590481,127.60855094
71,35.23235278,128.88772815
72,36.61216935,128.1881791
73,35.55706993,129.31132645
74,35.69718921,127.92754679
75,34.94962013,127.52363517
76,37.5860754,127.20769918
77,37.051471,126.9028435
78,37.16503917,128.9521768
79,37.3074773,127.62791659
80,37.52245834,126.70884128
81,37.64515974,127.05239766
82,35.51071802,127.54457019
83,37.46612962,127.13862148
84,34.82969728,127.3357674
85,37.69476058,127.90662137
86,34.53120342,126.57097203
87,37.74623062,126.75434498
88,34.8240507,127.92469454
89,36.54948921,128.72827218
90,36.27725941,126.89327499
91,36.35256221,126.59147733
92,37.72101031,126.46200065
93,37.25390149,127.05884623
94,36.4937483,127.23915677
95,35.15569304,126.90375489
96,36.48721685,127.72641926
97,37.02800509,127.08377164
98,37.65885425,125.70549953
99,35.98021694,128.92473523
100,37.0153144,129.38856409
101,35.02385005,128.34390917
102,36.77158367,126.43848897
103,37.78525026,127.44022554
104,37.48656948,126.7761187
105,36.10319732,127.49696047
106,35.18089724,128.10407542
107,36.14568868,128.11696646
108,35.44866259,126.65033244
109,36.4166922,129.38051873
110,34.98088139,127.7268928
111,36.69445314,126.81906275
112,38.39366823,128.46203072
113,37.34152693,127.94622525
114,37.4931294,127.01514279
115,35.53235354,128.75275257
116,36.85304113,128.64444432
117,37.39332259,128.40628419
118,35.21727747,127.48025291
119,35.04288427,126.5086743
120,37.98037667,127.28865565
121,34.99003966,128.08199136
122,35.83660013,128.51886574
123,35.22691232,129.04397041
124,37.58851206,126.91749051
125,33.29715816,126.31908439
126,35.40808974,127.38134703
127,37.48909691,126.94129254
128,36.41198119,128.17970478
129,36.08189508,127.74655378
130,35.01295534,127.00322249
131,37.01124803,127.91912222
132,35.01828,126.74057473
133,35.28121463,128.35410635
134,37.67038973,126.77049996
135,37.58146789,127.02969761
136,35.30206619,126.97665895
137,35.98215743,129.48621632
138,35.90857562,128.26529927
139,35.52843744,128.17727072
140,37.15886628,128.1998102
141,37.24827874,127.18729907
142,34.83920576,126.05769833
143,36.18993801,127.159406
144,37.6222587,126.69104052
145,37.00373823,127.23539187
146,35.17126761,129.10981027
147,37.39068133,127.26502855
148,35.38410788,127.13000758
149,36.8361253,127.4950554
150,35.12171162,128.82017782
151,37.18042718,128.47571041
152,38.0650372,127.05091285
153,35.70354232,127.47088442
154,37.86942689,126.82287012
155,35.71933315,129.38576649
156,38.21326566,127.50375146
157,37.06713767,127.61095858
158,37.87815197,128.81887641
159,37.54196401,126.84204819
160,37.72204428,128.28594184
161,34.5952062,127.27525416
162,33.42210038,126.87382078
163,36.62915717,128.46359212
164,35.1635219,126.81204266
165,34.78030969,127.11721039
166,35.68670253,126.69586252
167,35.84535266,127.03612983
168,37.47325511,127.52370723
169,37.3797342,126.95120316
170,37.84800833,127.18220849
171,37.44547191,126.46280177
172,37.37417077,126.75505274
173,34.36612172,126.78533221
174,34.64249486,126.76464543
175,37.51287978,127.07514306
176,36.79979421,126.98426807
177,37.65872234,128.63552557
178,37.49818157,128.00071583
179,35.5959386,129.12256119
